episode,return
0,2.1545734
1,3.4894753
2,0.58906555
3,-2.0005565
4,0.08440781
5,-1.1787453
6,5.9772377
7,-0.45715237
8,-0.03526497
9,13.111362
10,-0.8340483
11,9.796627
12,18.6982
13,9.630827
14,-0.48097324
15,-2.088973
16,12.56572
17,0.8318291
18,2.0553923
19,17.946428
20,7.1247807
21,24.54723
22,-0.080319405
23,3.5374746
24,13.181011
25,4.88735
26,47.71897
27,30.155392
28,-0.8282423
29,7.9781017
30,-2.9249048
31,2.6873455
32,-0.74723816
33,-2.7703953
34,5.4321566
35,7.3473225
36,20.280228
37,-0.12748718
38,9.258194
39,12.6383915
40,-0.607399
41,0.17512321
42,15.498743
43,1.6663675
44,-1.1788149
45,0.59384537
46,-0.995409
47,36.80937
48,12.633139
49,1.2214346
50,1.0524073
51,0.80434895
52,-3.1324363
53,0.03628826
54,-0.12907314
55,-0.1487379
56,-0.35784054
57,-0.67020035
58,1.9711876
59,1.3463268
60,-1.7595243
61,-3.211156
62,3.6686115
63,-0.04459381
64,4.0271883
65,10.000097
66,3.617548
67,1.6526423
68,-2.976798
69,-1.1623268
70,-1.4956446
71,23.833778
72,0.7895756
73,-1.0581741
74,1.7819338
75,3.2985868
76,-3.8394117
77,10.026148
78,10.739206
79,-1.3186216
80,3.264721
81,-4.55209
82,4.1646442
83,-0.0058908463
84,8.372206
85,6.31559
86,9.391083
87,1.0643454
88,-0.015657425
89,-1.9295139
90,-2.1091342
91,2.7867813
92,-2.953546
93,-2.236909
94,-2.1860886
95,1.7738657
96,-0.031968117
97,2.961567
98,1.603446
99,3.897231
100,9.535898
101,-3.083228
102,-3.0752926
103,1.4133663
104,5.6192217
105,-1.1239424
106,-2.0277457
107,6.1741962
108,-2.683354
109,-3.266128
110,4.338031
111,-2.7042809
112,-0.62282085
113,-1.9662647
114,2.6463585
115,0.7137089
116,-3.9782133
117,-2.2629256
118,1.1911926
119,-1.6946297
120,5.752013
121,4.9184885
122,0.9438391
123,0.46995735
124,-2.3092175
125,1.7882328
126,1.6672935
127,-1.0088959
128,10.949858
129,0.36803246
130,-1.2777863
131,-3.0446687
132,-1.7175455
133,-3.0601406
134,-3.6492562
135,-2.928472
136,2.4887428
137,9.740013
138,-3.6481705
139,-0.70287323
140,-1.8012571
141,0.39672184
142,4.243556
143,0.3814373
144,0.9878416
145,-0.43406963
146,2.219757
147,-0.07039261
148,7.6983852
149,0.23062038
150,-1.1453981
151,-1.7218437
152,4.97128
153,15.786215
154,-1.9068336
155,-1.9496346
156,1.3394661
157,6.9354877
158,-0.3213253
159,-1.0191879
160,2.6797762
161,0.9068222
162,-3.8316703
163,-3.659596
164,1.9289532
165,-4.0754695
166,0.30161285
167,-1.1989222
168,-3.6934023
169,-1.842102
170,-4.0937624
171,4.852235
172,-1.8714228
173,1.8115292
174,-2.7290373
175,-2.324606
176,-3.4025235
177,-3.632061
178,-2.6856003
179,-2.7266245
180,2.089778
181,-0.9905014
182,7.754162
183,-2.900539
184,-3.9471822
185,-1.0536098
186,-1.1943493
187,1.5728645
188,-2.8638325
189,-3.5582876
190,-4.0021787
191,-1.9875803
192,-2.2454605
193,1.1707954
194,-2.278563
195,-3.1581197
196,-1.2367258
197,-3.9801207
198,-2.0148172
199,-0.39263535
200,-1.8453951
201,-0.47469997
